Music_id,Music_title,Music_artist,Grade
3452213,1월부터 6월까지 (Feat. 윤종신),015B,100.0
3620493,안아줘,정준일,100.0
3964483,힐링이 필요해,로이킴,100.0
8071102,이 사랑,다비치,100.0
30120986,이 바보야,정승환,100.0
31002496,Strawberries & Cigarettes,Troye Sivan,65.0
30190630,첫눈처럼 너에게 가겠다,에일리,100.0
7928705,YOUTH,Troye Sivan,65.0
30948698,꽃 길,BIGBANG,100.0
31164090,동화,멜로망스,65.0
30884950,그때 헤어지면 돼,로이킴,100.0
30962526,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,100.0
30380953,There`s Nothing Holdin` Me Back,Shawn Mendes,100.0
8252569,사랑은 늘 도망가 (로맨틱 흑기사),로이킴,100.0
30755375,그날처럼,장덕철,100.0
5760115,IF YOU,BIGBANG,65.0
30699142,지나오다,닐로 (Nilo),100.0
8203900,너였다면,정승환,100.0
30486509,좋니,윤종신,100.0
2654264,그대를 사랑하는 10가지 이유,이석훈,65.0
30779236,Never Be the Same,Camila Cabello,65.0
8037848,Up All Night,Charlie Puth,65.0
30550293,사랑하지 않은 것처럼,버즈,100.0
4281881,그래도 나 사랑하지,스웨덴세탁소,65.0
3835596,Lucky Strike,Maroon 5,65.0
30970444,소나기 (Feat. 10cm),용준형,100.0
30877002,눈사람,정승환,100.0
30969769,In My Blood,Shawn Mendes,65.0
4374667,Happy (Gru`s Theme From Despicable Me 2),Pharrell Williams,65.0
30745316,To.,소란 (SORAN),100.0
4743560,Lost Stars,Adam Levine (Maroon 5),100.0
30244931,봄날,방탄소년단,100.0
4342072,How Long Will I Love You,Ellie Goulding,100.0
8194007,오늘,오왠 (O.WHEN),65.0
5459268,Uptown Funk (Feat. Bruno Mars),Mark Ronson,65.0
30611679,pet,10cm,100.0
30855818,The Middle,"Zedd, Grey, Maren Morris",65.0
30205712,Despacito (Feat. Daddy Yankee),Luis Fonsi,100.0
1331699,Sunday Morning,Maroon 5,65.0
30310655,오래전 그날,로이킴,100.0
8034161,Cheap Thrills,Sia,65.0
30721801,My Way,이수 (엠씨 더 맥스),100.0
30037874,Don`t Wanna Know (Feat. Kendrick Lamar),Maroon 5,65.0
2960594,가끔 미치도록 네가 안고 싶어질 때가 있어,가을방학,100.0
30105101,Oops (Feat. Charlie Puth),Little Mix,65.0
30708530,Palace (애플 크리스마스 광고 삽입곡),Sam Smith,65.0
5398990,이 소설의 끝을 다시 써보려 해,한동근,100.0
7942813,When We Were Young,Adele,65.0
4630555,Problem (Feat. Iggy Azalea),Ariana Grande,100.0
31085300,Where Were You In The Morning?,Shawn Mendes,65.0
30181278,오랜 날 오랜 밤,악동뮤지션,100.0
30572632,Meant to Be,"Bebe Rexha, Florida Georgia Line",65.0
30021737,"우리, 여행",소란 (SORAN),100.0
30717645,Snowman,Sia,65.0
31126250,Dance To This (Feat. Ariana Grande),Troye Sivan,65.0
460396,소주 한 잔,임창정,100.0
9636473,The Greatest (Feat. Kendrick Lamar),Sia,65.0
4774191,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",65.0
30623493,Too Good At Goodbyes,Sam Smith,100.0
30380968,Attention,Charlie Puth,65.0
5557084,Worth It (Feat. Kid Ink) (DJ 소다 피리춤 송),Fifth Harmony,65.0
8111603,HandClap,Fitz & The Tantrums,100.0
8117935,"i hate u, i love u (Feat. olivia o`brien) (Album Ver.)",gnash,65.0
30608019,What Lovers Do (Feat. SZA),Maroon 5,65.0
30102883,City Of Stars (영화 라라랜드 삽입곡 (La La Land OST)),"Ryan Gosling, Emma Stone",65.0
7899235,Hello,Adele,65.0
30600607,Look What You Made Me Do,Taylor Swift,65.0
4066039,Counting Stars,OneRepublic,100.0
31029291,2002,Anne-Marie,65.0
3899275,우리가 있던 시간,스웨덴세탁소,65.0
30188113,Shape of You,Ed Sheeran,100.0
31021816,참 많이 사랑했다,순순희,65.0
31139240,Tequila,Dan & Shay,65.0
30208026,Galway Girl,Ed Sheeran,65.0
1868209,Lucky (Feat. Colbie Caillat),Jason Mraz,65.0
30393293,Thunder,Imagine Dragons,100.0
7931286,Love Yourself,Justin Bieber,65.0
30833415,My My My!,Troye Sivan,100.0
31059218,The Way I Am,Charlie Puth,65.0
3846771,별사탕 (Feat. 범키),이루펀트,100.0
30371561,Despacito (Remix),"Luis Fonsi, Justin Bieber, Daddy Yankee",65.0
30821095,Finesse (Remix) (Feat. Cardi B),Bruno Mars,65.0
31092393,Rise (Feat. Jack & Jack),Jonas Blue,65.0
8037844,Marvin Gaye (Feat. Meghan Trainor),Charlie Puth,65.0
31062863,열애중,벤,100.0
30745314,연애 같은 걸 하니까,소란 (SORAN),100.0
8213915,Treat You Better,Shawn Mendes,65.0
8037849,Left Right Left,Charlie Puth,65.0
5832034,One Call Away,Charlie Puth,100.0
5584279,Love Me Like You Do (영화 `그레이의 50가지 그림자` OST) (From `Fifty Shades Of Grey`),Ellie Goulding,65.0
30027702,24K Magic,Bruno Mars,65.0
30660850,How Long,Charlie Puth,65.0
4534974,Chandelier,Sia,65.0
30385594,Closer,J.Fla,65.0
7898860,Sorry,Justin Bieber,65.0
30533790,Sriracha,Marteen,65.0
8037846,We Don`t Talk Anymore (Feat. Selena Gomez),Charlie Puth,100.0
5475060,Santa Tell Me,Ariana Grande,65.0
8028182,for him.,Troye Sivan,65.0
31126722,I`m a Mess,Bebe Rexha,65.0
30568338,에너제틱 (Energetic),Wanna One (워너원),35.0
30637776,이 별,길구봉구,35.0
5413256,12시 30분,비스트,35.0
30613202,시차 (We Are) (Feat. 로꼬 & GRAY),우원재,35.0
31093710,여행,볼빨간사춘기,35.0
30310862,얼굴 찌푸리지 말아요,하이라이트 (Highlight),35.0
30286429,MOVIE,비투비,35.0
30021732,Sunshine,소란 (SORAN),35.0
8252588,리본 (Ribbon),비스트,35.0
30633539,사랑해,BOBBY,35.0
7870707,AIRPLANE,iKON,35.0
4285746,혹시 자리 비었나요?,소란 (SORAN),35.0
30477180,Perfect Day,소란 (SORAN),35.0
7854179,취향저격,iKON,35.0
30200848,너를 공부해,소란 (SORAN),35.0
30414360,이기주의보,로이킴,35.0
30567963,Havana (Feat. Young Thug),Camila Cabello,35.0
4153481,Love Love Love,로이킴,35.0
30021731,나만 알고 싶다,소란 (SORAN),35.0
5466962,스토커,10cm,35.0
3759735,살빼지 마요,소란 (SORAN),35.0
4285745,리코타 치즈 샐러드,소란 (SORAN),35.0
1944399,Timeless,SG 워너비,35.0
4660794,I`m Not The Only One,Sam Smith,35.0
3894276,오래된 노래,스탠딩 에그,35.0
30689468,결혼,문문 (MoonMoon),35.0
30000525,너를 보네 (Feat. 권정열 Of 10cm),소란 (SORAN),35.0
8124376,7 Years,Lukas Graham,35.0
5406680,영원한 건 없지만,로이킴,35.0
4451155,겨울을 걷는다,윤딴딴,35.0
711627,죄와벌,SG 워너비,35.0
3972199,스쳐간다,로이킴,35.0
30657307,썸 탈꺼야,볼빨간사춘기,35.0
30611680,폰서트,10cm,35.0
7847510,통근버스,9 (9와 숫자들),35.0
8124417,봄이 좋냐??,10cm,35.0
30859584,사랑을 했다 (LOVE SCENARIO),iKON,35.0
4091105,봄봄봄,로이킴,35.0
3992620,Creep,"로이킴, 정준영",35.0
3833288,앵콜요청금지,브로콜리너마저,35.0
30399360,미치고 싶다,한동근,35.0
5495296,사랑에 빠지고 싶다,정승환,35.0
4583481,Give Love,악동뮤지션,35.0
30688990,그 사람을 아나요,임창정,35.0
30657308,Blue,볼빨간사춘기,35.0
8033528,어디에도,엠씨더맥스,35.0
732512,겁쟁이,버즈,35.0
686643,내가 너의 곁에 잠시 살았다는 걸,김범수,35.0
4582959,인연,"윤민수, 신용재 (포맨)",35.0
4512170,흔한 노래,임창정,35.0
3526967,안아줘요,10cm,35.0
30657311,나의 사춘기에게,볼빨간사춘기,35.0
30314784,밤편지,아이유,35.0
315872,잠시만 안녕 (Original),엠씨더맥스,35.0
31034284,No Tears Left To Cry,Ariana Grande,35.0
31006730,What is Love?,TWICE (트와이스),35.0
30536155,DINOSAUR,악동뮤지션,35.0
